Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Admitted,Region,,,
123,917,2020-03-27,2,3,118,KP,,,
131,1512,2020-03-27,0,1,130,Balochistan,,,
2,83,2020-03-27,0,0,2,AJK,,,
91,762,2020-03-27,2,1,88,GB,,,
39,1056,2020-03-28,2,0,8,ICT,,,
490,3310,2020-03-28,4,5,237,Punjab,,,
457,5158,2020-03-28,14,1,294,Sindh,,,
180,1121,2020-03-28,2,3,50,KP,,,
133,1657,2020-03-28,2,1,122,Balochistan,,,
2,97,2020-03-28,0,0,2,AJK,,,
107,832,2020-03-28,3,1,12,GB,,,
43,1213,2020-03-29,2,0,11,ICT,,,
558,3492,2020-03-29,4,5,247,Punjab,,,
481,5673,2020-03-29,14,2,294,Sindh,,,
188,1229,2020-03-29,2,4,60,KP,,,
138,1737,2020-03-29,2,1,130,Balochistan,,,
2,97,2020-03-29,0,0,2,AJK,,,
116,895,2020-03-29,4,1,12,GB,,,
51,1310,2020-03-30,3,0,13,ICT,,,
593,3492,2020-03-30,5,6,253,Punjab,,,
508,5945,2020-03-30,16,5,306,Sindh,,,
195,1324,2020-03-30,2,5,60,KP,,,
144,1710,2020-03-30,2,1,133,Balochistan,,,
6,105,2020-03-30,0,0,6,AJK,,,
128,862,2020-03-30,4,1,12,GB,,,
58,1469,2020-03-31,3,0,16,ICT,,,
652,2500,2020-03-31,5,9,303,Punjab,,,
627,6328,2020-03-31,42,7,315,Sindh,,,
221,1512,2020-03-31,2,6,70,KP,,,
153,1792,2020-03-31,2,1,139,Balochistan,,,
6,177,2020-03-31,0,0,6,AJK,,,
148,880,2020-03-31,4,2,12,GB,,,
54,1703,2020-04-01,3,0,16,ICT,,,
708,2720,2020-04-01,5,9,357,Punjab,,,
676,6578,2020-04-01,51,8,385,Sindh,,,
253,1271,2020-04-01,2,6,74,KP,,,
158,1934,2020-04-01,17,1,124,Balochistan,,,
6,239,2020-04-01,0,0,6,AJK,,,
184,750,2020-04-01,4,2,12,GB,,,
62,1997,2020-04-02,3,0,15,ICT,,,
