Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Admitted,Region,,,
7905,51587,2020-05-25,2469,398,401,KP,,,
20077,206041,2020-05-25,6091,337,2053,Punjab,,,
22491,157449,2020-05-25,7359,367,1671,Sindh,,,
211,5341,2020-05-26,99,2,110,AJK,,,
3468,21597,2020-05-26,993,41,77,Balochistan,,,
630,7652,2020-05-26,444,8,24,GB,,,
1728,34964,2020-05-26,152,17,32,ICT,,,
8080,52783,2020-05-26,2529,408,400,KP,,,
20654,209270,2020-05-26,6124,352,2137,Punjab,,,
22934,159301,2020-05-26,7973,369,1649,Sindh,,,
214,5379,2020-05-27,99,4,111,AJK,,,
3536,21866,2020-05-27,1156,42,109,Balochistan,,,
638,7761,2020-05-27,457,9,24,GB,,,
1879,35551,2020-05-27,152,18,31,ICT,,,
8259,53917,2020-05-27,2578,416,403,KP,,,
21118,213297,2020-05-27,6185,362,2177,Punjab,,,
23507,161628,2020-05-27,8515,374,1687,Sindh,,,
219,5501,2020-05-28,99,5,115,AJK,,,
3616,22200,2020-05-28,1289,42,115,Balochistan,,,
651,7945,2020-05-28,463,9,24,GB,,,
2015,36108,2020-05-28,152,19,36,ICT,,,
8483,54801,2020-05-28,2632,425,396,KP,,,
22037,217726,2020-05-28,6326,381,2294,Punjab,,,
24206,163805,2020-05-28,9270,380,1720,Sindh,,,
227,5738,2020-05-29,99,5,123,AJK,,,
3928,22641,2020-05-29,1354,43,107,Balochistan,,,
658,8064,2020-05-29,470,9,25,GB,,,
2100,36713,2020-05-29,161,22,39,ICT,,,
8842,55881,2020-05-29,2693,432,416,KP,,,
22964,223074,2020-05-29,6338,410,2328,Punjab,,,
25309,167906,2020-05-29,11190,396,1577,Sindh,,,
234,5975,2020-05-30,105,6,123,AJK,,,
4087,23394,2020-05-30,1400,46,86,Balochistan,,,
660,8208,2020-05-30,477,9,24,GB,,,
2192,37728,2020-05-30,161,23,46,ICT,,,
9067,57095,2020-05-30,2731,445,437,KP,,,
24104,228415,2020-05-30,6507,439,2425,Punjab,,,
26113,171222,2020-05-30,12750,427,1034,Sindh,,,
251,6260,2020-05-31,159,6,86,AJK,,,
4193,23977,2020-05-31,1471,46,82,Balochistan,,,
678,8451,2020-05-31,490,11,24,GB,,,
2418,39269,2020-05-31,169,27,45,ICT,,,
9540,58685,2020-05-31,2809,453,435,KP,,,
25056,233685,2020-05-31,6901,475,2750,Punjab,,,
27360,176703,2020-05-31,13272,465,1058,Sindh,,,
255,6583,2020-06-01,168,6,81,AJK,,,
4393,24470,2020-06-01,1507,47,82,Balochistan,,,
711,8602,2020-06-01,496,11,24,GB,,,
2589,40604,2020-06-01,169,28,47,ICT,,,
10027,60901,2020-06-01,2912,473,424,KP,,,
26240,239173,2020-06-01,7021,497,2637,Punjab,,,
28245,180803,2020-06-01,13810,481,1181,Sindh,,,
271,6696,2020-06-02,170,6,95,AJK,,,
4514,25375,2020-06-02,1565,49,85,Balochistan,,,
738,8863,2020-06-02,527,11,41,GB,,,
2893,41876,2020-06-02,169,30,51,ICT,,,
10485,62528,2020-06-02,2973,482,500,KP,,,
27850,245544,2020-06-02,7116,540,2756,Punjab,,,
29647,187092,2020-06-02,14590,503,1208,Sindh,,,
284,7008,2020-06-03,170,7,107,AJK,,,
4740,26218,2020-06-03,1733,49,81,Balochistan,,,
779,9197,2020-06-03,529,12,41,GB,,,
3188,43418,2020-06-03,399,34,48,ICT,,,
10897,64488,2020-06-03,3085,490,558,KP,,,
29489,252469,2020-06-03,7469,570,2783,Punjab,,,
31086,192546,2020-06-03,15538,526,1209,Sindh,,,
285,7287,2020-06-04,173,7,105,AJK,,,
5224,27301,2020-06-04,2021,51,68,Balochistan,,,
824,9435,2020-06-04,532,12,41,GB,,,
3544,45760,2020-06-04,518,38,51,ICT,,,
11373,66381,2020-06-04,3150,500,625,KP,,,
31104,259254,2020-06-04,7712,607,2765,Punjab,,,
32910,200093,2020-06-04,16022,555,1263,Sindh,,,
299,7613,2020-06-05,182,7,110,AJK,,,
5582,28099,2020-06-05,2037,53,76,Balochistan,,,
852,9641,2020-06-05,541,12,46,GB,,,
3946,48546,2020-06-05,629,41,56,ICT,,,
11890,68982,2020-06-05,3221,521,680,KP,,,
33144,266959,2020-06-05,7806,629,2556,Punjab,,,
33536,208483,2020-06-05,16782,575,1269,Sindh,,,
331,7934,2020-06-06,185,8,138,AJK,,,
5776,28652,2020-06-06,2110,54,82,Balochistan,,,
897,9859,2020-06-06,551,13,46,GB,,,
4323,51376,2020-06-06,629,45,58,ICT,,,
12459,71688,2020-06-06,3366,541,712,KP,,,
35308,275139,2020-06-06,7953,659,2693,Punjab,,,
34889,215860,2020-06-06,17787,615,1331,Sindh,,,
361,8342,2020-06-07,190,8,163,AJK,,,
6221,30087,2020-06-07,2175,54,73,Balochistan,,,
927,10058,2020-06-07,573,13,46,GB,,,
4979,54675,2020-06-07,703,49,59,ICT,,,
13001,74749,2020-06-07,3450,561,711,KP,,,
37090,282807,2020-06-07,8109,683,2697,Punjab,,,
36364,222890,2020-06-07,18265,634,1327,Sindh,,,
488,9573,2020-06-11,219,9,260,AJK,,,
7335,34153,2020-06-11,2592,73,107,Balochistan,,,
1018,10650,2020-06-11,633,14,50,GB,,,
6236,66040,2020-06-11,1164,62,75,ICT,,,
15206,86899,2020-06-11,3771,619,1017,KP,,,
45463,317893,2020-06-11,9005,841,2803,Punjab,,,
43790,255617,2020-06-11,21007,738,1526,Sindh,,,
534,9942,2020-06-12,237,10,287,AJK,,,
7673,35412,2020-06-12,2673,75,107,Balochistan,,,
1030,10769,2020-06-12,673,15,48,GB,,,
6699,69806,2020-06-12,1164,65,75,ICT,,,
15787,90470,2020-06-12,3907,632,1026,KP,,,
47382,327072,2020-06-12,9546,890,2426,Punjab,,,
46828,265698,2020-06-12,22047,776,1681,Sindh,,,
